Speech,Loop
,0
,0
,0
,0
,0
,0
,0
"Modify and return the given map as follows: if the key ""a"" has a value, set the key ""b"" to have that value, and set the key ""a"" to have the value """". Basically ""b"" is a bully, taking the value and replacing it with the empty string.",0
"Modify and return the given map as follows: if the key ""a"" has a value, set the key ""b"" to have that same value. In all cases remove the key ""c"", leaving the rest of the map unchanged.",0
"Modify and return the given map as follows: for this problem the map may or may not contain the ""a"" and ""b"" keys. If both keys are present, append their 2 string values together and store the result under the key ""ab"".",0
"Given a map of food keys and topping values, modify and return the map as follows: if the key ""ice cream"" is present, set its value to ""cherry"". In all cases, set the key ""bread"" to have the value ""butter"".",0
"Given a map of food keys and their topping values, modify and return the map as follows: if the key ""ice cream"" has a value, set that as the value for the key ""yogurt"" also. If the key ""spinach"" has a value, change that value to ""nuts"".",0
"Given a map of food keys and topping values, modify and return the map as follows:  if the key ""potato"" has a value, set that as the value for the key ""fries"". If the key ""salad"" has a value, set that as the value for the key ""spinach"".",0
"Modify and return the given map as follows: if the keys ""a"" and ""b"" are both in the map and have equal values, remove them both.",0
"Modify and return the given map as follows: if exactly one of the keys ""a"" or ""b"" has a value in the map (but not both), set the other to have that same value in the map.",0
"Modify and return the given map as follows: if the keys ""a"" and ""b"" have values that have different lengths, then set ""c"" to have the longer value. If the values exist and have the same length, change them both to the empty string in the map.",0
